COMPANY-TYPE,ITEM,TAX-STATUS,EMPLOYER,2015 Revenue,2014 Revenue,2013 Revenue,2012 Revenue,2011 Revenue,2010 Revenue,2009 Revenue,2008 Revenue,2007 Revenue
Other Nondepository Credit Intermediation ,Revenue ,All Establishments ,Employer Firms ,341980,338280,353996,370809,391032,416642,0,0,0
Other Nondepository Credit Intermediation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,341980,338280,353996,370809,391032,416642,0,0,0
Mortgage and Nonmortgage Loan Brokers ,Revenue ,All Establishments ,Employer Firms ,9463,7198,8061,7909,5388,6317,5524,0,0
Mortgage and Nonmortgage Loan Brokers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9463,7198,8061,7909,5388,6317,5524,0,0
"Fi0ncial Transactions Processing, Reserve, and Clearinghouse Activities ",Revenue ,All Establishments ,Employer Firms ,65047,62428,61706,56748,53147,52718,48480,0,0
"Fi0ncial Transactions Processing, Reserve, and Clearinghouse Activities ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,65047,62428,61706,56748,53147,52718,48480,0,0
Other Activities Related to Credit Intermediation ,Revenue ,All Establishments ,Employer Firms ,16286,15251,14309,13947,11799,9849,9148,0,0
Other Activities Related to Credit Intermediation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16286,15251,14309,13947,11799,9849,9148,0,0
"Securities, Commodity Contracts, and Other Fi0ncial Investments and Related Activities ",Revenue ,All Establishments ,Employer Firms ,586523,582474,547055,515454,508560,497636,494000,0,0
"Securities, Commodity Contracts, and Other Fi0ncial Investments and Related Activities ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,586523,582474,547055,515454,508560,497636,494000,0,0
Investment Banking and Securities Dealing ,Revenue ,All Establishments ,Employer Firms ,107305,105933,104060,104079,108455,119631,136504,98695,203139
Investment Banking and Securities Dealing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,107305,105933,104060,104079,108455,119631,136504,98695,203139
Securities Brokerage ,Revenue ,All Establishments ,Employer Firms ,135640,136522,126858,120383,118307,114760,115819,68220,155797
Securities Brokerage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,135640,136522,126858,120383,118307,114760,115819,68220,155797
Commodity Contracts Dealing ,Revenue ,All Establishments ,Employer Firms ,7937,7840,7202,6673,6972,6884,5837,5419,6981
Commodity Contracts Dealing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7937,7840,7202,6673,6972,6884,5837,5419,6981
Commodity Contracts Brokerage ,Revenue ,All Establishments ,Employer Firms ,5092,5325,5031,5377,6676,6184,5738,7084,5583
Commodity Contracts Brokerage ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5092,5325,5031,5377,6676,6184,5738,7084,5583
Securities and Commodity Exchanges ,Revenue ,All Establishments ,Employer Firms ,10548,9989,9791,9694,11081,10053,10208,0,0
Securities and Commodity Exchanges ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10548,9989,9791,9694,11081,10053,10208,0,0
Miscellaneous Intermediation ,Revenue ,All Establishments ,Employer Firms ,22477,22203,20130,18895,18518,17243,14861,0,0
Miscellaneous Intermediation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,22477,22203,20130,18895,18518,17243,14861,0,0
Portfolio Ma0gement ,Revenue ,All Establishments ,Employer Firms ,227241,227242,213056,193246,183807,172288,158196,175371,177941
Portfolio Ma0gement ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,227241,227242,213056,193246,183807,172288,158196,175371,177941
Investment Advice ,Revenue ,All Establishments ,Employer Firms ,44261,40849,36201,32227,28628,25693,24337,23083,22917
Investment Advice ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,44261,40849,36201,32227,28628,25693,24337,23083,22917
All Other Fi0ncial Investment Activities ,Revenue ,All Establishments ,Employer Firms ,26022,26571,24726,24880,26116,24900,22500,0,0
All Other Fi0ncial Investment Activities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,26022,26571,24726,24880,26116,24900,22500,0,0
Insurance Carriers and Related Activities ,Revenue ,All Establishments ,Employer Firms ,2296904,2176850,2005550,1925298,1809628,1748557,1712925,0,0
Insurance Carriers and Related Activities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2296904,2176850,2005550,1925298,1809628,1748557,1712925,0,0
"Direct Life, Health, and Medical Insurance Carriers ",Revenue ,All Establishments ,Employer Firms ,1378780,1298882,1174688,1142019,1093528,1060732,1036332,0,0
"Direct Life, Health, and Medical Insurance Carriers ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,1378780,1298882,1174688,1142019,1093528,1060732,1036332,0,0
"Direct Insurance (except Life, Health, and Medical) Carriers ",Revenue ,All Establishments ,Employer Firms ,544311,521246,493119,470033,452183,441586,435920,0,0
"Direct Insurance (except Life, Health, and Medical) Carriers ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,544311,521246,493119,470033,452183,441586,435920,0,0
Reinsurance Carriers ,Revenue ,All Establishments ,Employer Firms ,55812,54995,52184,49417,45517,45707,44042,0,0
Reinsurance Carriers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,55812,54995,52184,49417,45517,45707,44042,0,0
Insurance Agencies and Brokerages ,Revenue ,All Establishments ,Employer Firms ,130025,120110,115019,106844,102607,98424,99161,0,0
Insurance Agencies and Brokerages ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,130025,120110,115019,106844,102607,98424,99161,0,0
Other Insurance Related Activities ,Revenue ,All Establishments ,Employer Firms ,187976,181617,170540,156985,115793,102108,97470,0,0
Other Insurance Related Activities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,187976,181617,170540,156985,115793,102108,97470,0,0
Real Estate and Rental and Leasing11 ,Revenue ,All Establishments ,Employer Firms ,602846,564613,523255,487656,454896,431216,0,0,0
Real Estate and Rental and Leasing11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,602846,564613,523255,487656,454896,431216,0,0,0
Real Estate11 ,Revenue ,All Establishments ,Employer Firms ,410457,380860,351972,325339,303318,289294,0,0,0
Real Estate11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,410457,380860,351972,325339,303318,289294,0,0,0
Lessors of Residential Buildings and Dwellings11 ,Revenue ,All Establishments ,Employer Firms ,105318,98130,91448,85980,79917,73899,0,0,0
Lessors of Residential Buildings and Dwellings11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,105318,98130,91448,85980,79917,73899,0,0,0
Lessors of Nonresidential Buildings (except Miniwarehouses)11 ,Revenue ,All Establishments ,Employer Firms ,114499,107747,100759,96132,91764,86933,0,0,0
Lessors of Nonresidential Buildings (except Miniwarehouses)11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,114499,107747,100759,96132,91764,86933,0,0,0
Lessors of Miniwarehouses and Self-Storage Units11 ,Revenue ,All Establishments ,Employer Firms ,10426,9287,8455,7802,7404,7025,0,0,0
Lessors of Miniwarehouses and Self-Storage Units11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10426,9287,8455,7802,7404,7025,0,0,0
Lessors of Other Real Estate Property11 ,Revenue ,All Establishments ,Employer Firms ,8136,7643,7132,6645,6371,6374,0,0,0
Lessors of Other Real Estate Property11 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8136,7643,7132,6645,6371,6374,0,0,0
Offices of Real Estate Agents and Brokers ,Revenue ,All Establishments ,Employer Firms ,92869,84199,75928,65094,57020,55966,54671,0,0
Offices of Real Estate Agents and Brokers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,92869,84199,75928,65094,57020,55966,54671,0,0
Real Estate Property Ma0gers ,Revenue ,All Establishments ,Employer Firms ,59429,55574,50670,47179,45598,43659,42950,0,0
Real Estate Property Ma0gers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,59429,55574,50670,47179,45598,43659,42950,0,0
Offices of Real Estate Appraisers ,Revenue ,All Establishments ,Employer Firms ,5881,5464,5734,5824,5248,5225,5010,0,0
Offices of Real Estate Appraisers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5881,5464,5734,5824,5248,5225,5010,0,0
Other Activities Related to Real Estate ,Revenue ,All Establishments ,Employer Firms ,13899,12816,11846,10683,9996,10213,10791,0,0
Other Activities Related to Real Estate ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13899,12816,11846,10683,9996,10213,10791,0,0
Rental and Leasing Services ,Revenue ,All Establishments ,Employer Firms ,152544,145799,135753,129336,119310,112020,110601,123674,121685
Rental and Leasing Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,152544,145799,135753,129336,119310,112020,110601,123674,121685
Passenger Car Rental ,Revenue ,All Establishments ,Employer Firms ,28194,27295,25957,25033,24320,22534,22587,24274,23789
Passenger Car Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,28194,27295,25957,25033,24320,22534,22587,24274,23789
Passenger Car Leasing ,Revenue ,All Establishments ,Employer Firms ,9050,8610,8136,7714,6545,6063,5718,5905,5433
Passenger Car Leasing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9050,8610,8136,7714,6545,6063,5718,5905,5433
"Truck, Utility Trailer, and RV (Recreatio0l Vehicle) Rental and Leasing ",Revenue ,All Establishments ,Employer Firms ,18082,16933,15941,15667,14923,13941,13784,15959,15760
"Truck, Utility Trailer, and RV (Recreatio0l Vehicle) Rental and Leasing ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,18082,16933,15941,15667,14923,13941,13784,15959,15760
Consumer Electronics and Appliances Rental ,Revenue ,All Establishments ,Employer Firms ,7991,7462,6809,6667,5880,5253,4601,4471,4206
Consumer Electronics and Appliances Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7991,7462,6809,6667,5880,5253,4601,4471,4206
Formal Wear and Costume Rental ,Revenue ,All Establishments ,Employer Firms ,463,472,454,456,528,591,677,874,976
Formal Wear and Costume Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,463,472,454,456,528,591,677,874,976
Video Tape and Disc Rental ,Revenue ,All Establishments ,Employer Firms ,3106,3417,3991,4486,4910,6056,6989,8256,9262
Video Tape and Disc Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3106,3417,3991,4486,4910,6056,6989,8256,9262
Home Health Equipment Rental ,Revenue ,All Establishments ,Employer Firms ,5396,5176,5271,5417,5586,5570,5465,5887,5877
Home Health Equipment Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5396,5176,5271,5417,5586,5570,5465,5887,5877
Recreatio0l Goods Rental ,Revenue ,All Establishments ,Employer Firms ,1153,998,897,816,788,735,686,694,683
Recreatio0l Goods Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1153,998,897,816,788,735,686,694,683
All Other Consumer Goods Rental ,Revenue ,All Establishments ,Employer Firms ,4683,4507,4067,3873,3616,3594,3512,3846,3746
All Other Consumer Goods Rental ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4683,4507,4067,3873,3616,3594,3512,3846,3746
General Rental Centers ,Revenue ,All Establishments ,Employer Firms ,2619,2451,2304,2327,2499,2740,2889,3748,4249
General Rental Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2619,2451,2304,2327,2499,2740,2889,3748,4249
"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing ",Revenue ,All Establishments ,Employer Firms ,36201,36285,32837,30480,25991,23012,23012,26725,26130
"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,36201,36285,32837,30480,25991,23012,23012,26725,26130
Office Machinery and Equipment Rental and Leasing ,Revenue ,All Establishments ,Employer Firms ,2446,2297,2091,2091,2034,1916,1907,2134,2138
Office Machinery and Equipment Rental and Leasing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2446,2297,2091,2091,2034,1916,1907,2134,2138
Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,Revenue ,All Establishments ,Employer Firms ,33160,29896,26998,24309,21690,20015,18774,20901,19436
Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,33160,29896,26998,24309,21690,20015,18774,20901,19436
Lessors of Nonfi0ncial Intangible Assets (except Copyrighted Works) ,Revenue ,All Establishments ,Employer Firms ,39845,37954,35530,32981,32268,29902,26295,0,0
Lessors of Nonfi0ncial Intangible Assets (except Copyrighted Works) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,39845,37954,35530,32981,32268,29902,26295,0,0
"Professio0l, Scientific, and Technical Services4,12 ",Revenue ,All Establishments ,Employer Firms ,1647677,1591295,1512776,1480277,1416590,1330172,1272833,1326646,1251005
"Professio0l, Scientific, and Technical Services4,12 ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,41829,41962,41521,40217,39339,36377,32449,30682,30569
"Professio0l, Scientific, and Technical Services4,12 ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,1605848,1549333,1471255,1440060,1377251,1293795,1240384,1295964,1220436
Offices of Lawyers ,Revenue ,All Establishments ,Employer Firms ,264204,254801,247961,248884,244494,234389,229553,234488,227768
Offices of Lawyers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,3248,3056,2930,2743,2798,2781,2787,2801,2708
Offices of Lawyers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,260956,251745,245031,246141,241696,231608,226766,231687,225060
Other Legal Services ,Revenue ,All Establishments ,Employer Firms ,14092,13193,14121,12810,10907,11228,11177,11760,11629
Other Legal Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,14092,13193,14121,12810,10907,11228,11177,11760,11629
Offices of Certified Public Accountants ,Revenue ,All Establishments ,Employer Firms ,91321,84586,79715,76911,70834,68702,70368,69928,66588
Offices of Certified Public Accountants ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,91321,84586,79715,76911,70834,68702,70368,69928,66588
Tax Preparation Services ,Revenue ,All Establishments ,Employer Firms ,7099,6657,6276,5848,5848,5740,5714,5549,5251
Tax Preparation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7099,6657,6276,5848,5848,5740,5714,5549,5251
Payroll Services ,Revenue ,All Establishments ,Employer Firms ,35097,32803,31020,29306,27095,25748,26669,29995,28916
Payroll Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,35097,32803,31020,29306,27095,25748,26669,29995,28916
Other Accounting Services ,Revenue ,All Establishments ,Employer Firms ,22498,20733,19126,18196,16912,15742,15058,14502,13355
Other Accounting Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,22498,20733,19126,18196,16912,15742,15058,14502,13355
Architectural Services ,Revenue ,All Establishments ,Employer Firms ,34864,31967,28865,28129,28058,26849,30404,38045,37150
Architectural Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,34864,31967,28865,28129,28058,26849,30404,38045,37150
Landscape Architectural Services ,Revenue ,All Establishments ,Employer Firms ,3357,3211,3018,2796,2954,3021,3357,4352,4365
Landscape Architectural Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3357,3211,3018,2796,2954,3021,3357,4352,4365
Engineering Services ,Revenue ,All Establishments ,Employer Firms ,225517,217178,205874,208124,209570,191660,191424,205904,187532
Engineering Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,225517,217178,205874,208124,209570,191660,191424,205904,187532
Drafting Services ,Revenue ,All Establishments ,Employer Firms ,1134,1046,931,833,739,602,0,0,0
Drafting Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1134,1046,931,833,739,602,0,0,0
Building Inspection Services ,Revenue ,All Establishments ,Employer Firms ,2590,2416,2114,2005,1931,1856,1622,1533,1830
Building Inspection Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2590,2416,2114,2005,1931,1856,1622,1533,1830
Surveying and Mapping Services13 ,Revenue ,All Establishments ,Employer Firms ,9130,9871,9083,8735,7979,7534,0,0,0
Surveying and Mapping Services13 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9130,9871,9083,8735,7979,7534,0,0,0
Testing Laboratories ,Revenue ,All Establishments ,Employer Firms ,17190,16257,16146,15324,15431,14057,12975,13593,12387
Testing Laboratories ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,17190,16257,16146,15324,15431,14057,12975,13593,12387
"Drafting, Building Inspection, and Mapping Services14 ",Revenue ,All Establishments ,Employer Firms ,12854,13333,12128,11573,10649,9992,10029,12055,12767
"Drafting, Building Inspection, and Mapping Services14 ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,12854,13333,12128,11573,10649,9992,10029,12055,12767
Interior Design Services ,Revenue ,All Establishments ,Employer Firms ,10351,9479,8172,7671,7144,6594,6968,9368,9799
Interior Design Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10351,9479,8172,7671,7144,6594,6968,9368,9799
Industrial Design Services ,Revenue ,All Establishments ,Employer Firms ,1941,1827,1690,1629,1579,1308,1322,1475,1542
Industrial Design Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1941,1827,1690,1629,1579,1308,1322,1475,1542
Graphic Design Services ,Revenue ,All Establishments ,Employer Firms ,8761,8157,7497,7552,7544,7378,7064,8252,8281
Graphic Design Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8761,8157,7497,7552,7544,7378,7064,8252,8281
Other Specialized Design Services ,Revenue ,All Establishments ,Employer Firms ,1562,1506,1301,1355,1148,945,923,921,932
Other Specialized Design Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1562,1506,1301,1355,1148,945,923,921,932
All Other Design Services15 ,Revenue ,All Establishments ,Employer Firms ,3503,3333,2991,2984,2727,2253,2245,2396,2474
All Other Design Services15 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3503,3333,2991,2984,2727,2253,2245,2396,2474
Computer Systems Design and Related Services ,Revenue ,All Establishments ,Employer Firms ,348245,347637,331025,326032,306119,283362,260368,265770,244389
Computer Systems Design and Related Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,348245,347637,331025,326032,306119,283362,260368,265770,244389
Ma0gement Consulting Services16 ,Revenue ,All Establishments ,Employer Firms ,199868,193290,180646,170213,154155,138955,123060,127184,115371
Ma0gement Consulting Services16 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,199868,193290,180646,170213,154155,138955,123060,127184,115371
Environmental Consulting Services ,Revenue ,All Establishments ,Employer Firms ,12789,13018,13409,13477,13266,12554,11791,11555,10423
Environmental Consulting Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,12789,13018,13409,13477,13266,12554,11791,11555,10423
Other Scientific and Technical Consulting Services ,Revenue ,All Establishments ,Employer Firms ,29409,27821,25714,23599,20936,18779,16214,15333,14011
Other Scientific and Technical Consulting Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,29409,27821,25714,23599,20936,18779,16214,15333,14011
"Research and Development in the Physical, Engineering, and Life Sciences ",Revenue ,All Establishments ,Employer Firms ,126820,120554,115125,110721,109176,102860,94825,94046,89413
"Research and Development in the Physical, Engineering, and Life Sciences ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,34017,34541,34561,33662,32587,29793,26139,24242,24366
"Research and Development in the Physical, Engineering, and Life Sciences ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,92803,86013,80564,77059,76589,73067,68686,69804,65047
Research and Development in the Social Sciences and Humanities ,Revenue ,All Establishments ,Employer Firms ,6732,6658,6172,5719,5856,5651,5260,5339,5105
Research and Development in the Social Sciences and Humanities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,4564,4365,4030,3812,3954,3803,3523,3639,3495
Research and Development in the Social Sciences and Humanities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2168,2293,2142,1907,1902,1848,1737,1700,1610
Advertising Agencies ,Revenue ,All Establishments ,Employer Firms ,39815,37563,35473,34832,31301,30870,29180,31236,30666
Advertising Agencies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,39815,37563,35473,34832,31301,30870,29180,31236,30666
Public Relations Agencies ,Revenue ,All Establishments ,Employer Firms ,11863,11405,10633,10135,9569,9515,8537,9087,9279
Public relations agencies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,11863,11405,10633,10135,9569,9515,8537,9087,9279
Media Buying Agencies ,Revenue ,All Establishments ,Employer Firms ,7503,7165,6939,6725,5865,5107,4806,5172,4606
Media Buying Agencies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7503,7165,6939,6725,5865,5107,4806,5172,4606
Media Representatives ,Revenue ,All Establishments ,Employer Firms ,3296,3311,3153,2936,3016,2992,3018,3500,3577
Media Representatives ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3296,3311,3153,2936,3016,2992,3018,3500,3577
Display Advertising ,Revenue ,All Establishments ,Employer Firms ,7248,7159,7104,7157,7001,7089,7089,8893,9111
Display Advertising ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7248,7159,7104,7157,7001,7089,7089,8893,9111
Direct Mail Advertising ,Revenue ,All Establishments ,Employer Firms ,10126,10226,10033,10200,10236,10140,9627,11258,12360
Direct Mail Advertising ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10126,10226,10033,10200,10236,10140,9627,11258,12360
Advertising Material Distribution Services ,Revenue ,All Establishments ,Employer Firms ,3976,3475,3102,2703,3052,3616,3701,4685,4171
Advertising Material Distribution Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3976,3475,3102,2703,3052,3616,3701,4685,4171
Other Services Related to Advertising ,Revenue ,All Establishments ,Employer Firms ,13630,13369,12820,12656,12443,11964,11526,13019,13664
Other Services Related to Advertising ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13630,13369,12820,12656,12443,11964,11526,13019,13664
All Other Advertising ,Revenue ,All Establishments ,Employer Firms ,17606,16844,15922,15359,15495,15580,15227,17704,17835
All Other Advertising ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,17606,16844,15922,15359,15495,15580,15227,17704,17835
Marketing Research and Public Opinion Polling ,Revenue ,All Establishments ,Employer Firms ,17769,17695,16450,16378,17107,16531,15366,16258,15493
Marketing Research and Public Opinion Polling ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,17769,17695,16450,16378,17107,16531,15366,16258,15493
"Photography Studios, Portrait ",Revenue ,All Establishments ,Employer Firms ,4109,3952,3676,3682,3875,4180,4521,4922,5055
"Photography Studios, Portrait ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,4109,3952,3676,3682,3875,4180,4521,4922,5055
Commercial Photography ,Revenue ,All Establishments ,Employer Firms ,1757,1908,1934,1786,1597,1590,1595,1893,1712
Commercial Photography ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1757,1908,1934,1786,1597,1590,1595,1893,1712
Translation and Interpretation Services ,Revenue ,All Establishments ,Employer Firms ,3627,3654,3797,4187,3883,3740,3322,2229,1895
Translation and Interpretation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3627,3654,3797,4187,3883,3740,3322,2229,1895
Veteri0ry Services ,Revenue ,All Establishments ,Employer Firms ,35421,33390,30825,29533,27713,27033,25916,25917,24568
Veteri0ry Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,35421,33390,30825,29533,27713,27033,25916,25917,24568
"All Other Professio0l, Scientific, and Technical Services ",Revenue ,All Establishments ,Employer Firms ,12966,12357,11836,11498,10257,10291,10106,9163,7874
"All Other Professio0l, Scientific, and Technical Services ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,12966,12357,11836,11498,10257,10291,10106,9163,7874
Administrative and Support and Waste Ma0gement and Remediation Services4 ,Revenue ,All Establishments ,Employer Firms ,816393,769796,701050,673033,644136,614178,581917,635345,625550
Administrative and Support and Waste Ma0gement and Remediation Services4 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,816393,769796,701050,673033,644136,614178,581917,635345,625550
Administrative and Support Services4 ,Revenue ,All Establishments ,Employer Firms ,728883,683527,619716,593835,564521,535359,511072,557447,550363
Administrative and Support Services4 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,728883,683527,619716,593835,564521,535359,511072,557447,550363
Office Administrative Services ,Revenue ,All Establishments ,Employer Firms ,50806,49552,45580,43421,41487,39193,38446,38952,39295
Office Administrative Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,50806,49552,45580,43421,41487,39193,38446,38952,39295
Facilities Support Services ,Revenue ,All Establishments ,Employer Firms ,27218,25773,24895,25442,27517,25592,26449,27723,25735
Facilities Support Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,27218,25773,24895,25442,27517,25592,26449,27723,25735
Employment Placement Agencies and Executive Search Services18 ,Revenue ,All Establishments ,Employer Firms ,19186,18236,16825,16232,16220,14336,14754,18645,18795
Employment Placement Agencies and Executive Search Services18 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,19186,18236,16825,16232,16220,14336,14754,18645,18795
Temporary Help Services ,Revenue ,All Establishments ,Employer Firms ,153477,136727,125193,120089,111746,99329,85211,103340,105691
Temporary Help Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,153477,136727,125193,120089,111746,99329,85211,103340,105691
Professio0l Employer Organizations ,Revenue ,All Establishments ,Employer Firms ,146510,135918,110241,102617,93351,90081,84362,87088,85205
Professio0l Employer Organizations ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,146510,135918,110241,102617,93351,90081,84362,87088,85205
Document Preparation Services ,Revenue ,All Establishments ,Employer Firms ,3400,3320,3361,3399,3085,3130,3103,3394,3404
Document Preparation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3400,3320,3361,3399,3085,3130,3103,3394,3404
Telephone Answering Services ,Revenue ,All Establishments ,Employer Firms ,2086,1982,1911,1946,2169,2167,2179,2287,2289
Telephone Answering Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2086,1982,1911,1946,2169,2167,2179,2287,2289
Telemarketing Bureaus and Other Contact Centers ,Revenue ,All Establishments ,Employer Firms ,18626,18269,17252,16919,15459,14729,15435,15284,14666
Telemarketing Bureaus and Other Contact Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,18626,18269,17252,16919,15459,14729,15435,15284,14666
Private Mail Centers ,Revenue ,All Establishments ,Employer Firms ,2626,2491,2327,2329,2179,2107,2051,2197,2149
Private Mail Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2626,2491,2327,2329,2179,2107,2051,2197,2149
Other Business Service Centers (including Copy Shops) ,Revenue ,All Establishments ,Employer Firms ,5896,5920,5907,5774,5922,6619,6900,8016,8219
Other Business Service Centers (including Copy Shops) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5896,5920,5907,5774,5922,6619,6900,8016,8219
Collection Agencies ,Revenue ,All Establishments ,Employer Firms ,11537,11945,12362,12379,11862,11660,11065,11958,12245
Collection Agencies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,11537,11945,12362,12379,11862,11660,11065,11958,12245
Credit Bureaus ,Revenue ,All Establishments ,Employer Firms ,9330,8084,7443,7062,6433,6604,6932,7416,8191
Credit Bureaus ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9330,8084,7443,7062,6433,6604,6932,7416,8191
Repossession Services ,Revenue ,All Establishments ,Employer Firms ,769,760,674,633,775,844,913,832,717
Repossession Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,769,760,674,633,775,844,913,832,717
Court Reporting and Stenotype Services ,Revenue ,All Establishments ,Employer Firms ,2240,2175,2097,2116,2246,2252,2218,2214,2248
Court Reporting and Stenotype Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2240,2175,2097,2116,2246,2252,2218,2214,2248
