,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
5,5,San Mateo,California,San Francisco,32945188,drawbridge,Advertising & Marketing,100,6,36636,23484.1623,1,CA,Drawbridge
8,8,Culver City,California,Los Angeles,32077840,scopely,Advertising & Marketing,120,9,36638,19556.3823,1,CA,Scopely
18,18,Mountain View,California,San Jose,31661528,aarki,Advertising & Marketing,146,19,36647,11133.1885,1,CA,Aarki
26,26,Pleasant Grove,Utah,"Provo-Orem, UT",11819579,skyrocket-media,Advertising & Marketing,31,27,36650,8110.9490000000005,1,UT,SkyRocket Media
28,28,Los Angeles,California,Los Angeles,10806711,allscreen,Advertising & Marketing,12,29,36652,7964.7097,1,CA,AllScreen
33,33,Ventura,California,"Oxnard-Thousand Oaks-Ventura, CA",202060488,the-trade-desk,Advertising & Marketing,250,34,36657,6948.8053,1,CA,The Trade Desk
34,34,New York,New York,New York City,22290446,adtheorent,Advertising & Marketing,110,35,36658,6772.1951,1,NY,AdTheorent
37,37,Irvine,California,Los Angeles,10026051,searchmarketerscom,Advertising & Marketing,11,38,25668,6146.3327,2,CA,SearchMarketers.com
39,39,Roswell,Georgia,Atlanta,6088911,muscle-up-marketing,Advertising & Marketing,10,40,36662,5967.3718,1,GA,Muscle Up Marketing
64,64,Houston,Texas,Houston,9405376,local-search-group,Advertising & Marketing,20,65,36683,4213.4033,1,TX,Local Search Group
72,72,Orlando,Florida,"Orlando, FL",8145300,dg3-media-group,Advertising & Marketing,30,73,25769,4061.2854,2,FL,DG3 Media Group
87,87,Atlanta,Georgia,Atlanta,53489473,cardlytics,Advertising & Marketing,273,88,36700,3596.7152,1,GA,Cardlytics
91,91,Plainfield,Illinois,Chicago,4584697,llt-group,Advertising & Marketing,9,92,36702,3559.9984,1,IL,LLT Group
96,96,Cedar Knolls,New Jersey,New York City,103091321,marketsmith,Advertising & Marketing,25,97,23162,3420.0405,3,NJ,Marketsmith
99,99,New York,New York,New York City,7611265,contently,Advertising & Marketing,73,100,36707,3391.3899,1,NY,Contently
101,101,Kemah,Texas,Houston,5428445,direct-results-marketing,Advertising & Marketing,6,102,36709,3283.347,1,TX,Direct Results Marketing
109,109,Los Angeles,California,Los Angeles,10200869,dogs-bollocks-db5,Advertising & Marketing,38,110,21360,3104.9682,3,CA,Dogs Bollocks DB5
111,111,Santa Barbara,California,"Santa Barbara-Santa Maria-Goleta, CA",6000816,impact-radius,Advertising & Marketing,135,112,36715,3087.2781,1,CA,Impact Radius
118,118,Wilmington,Delaware,Philadelphia,3389277,astoria-company,Advertising & Marketing,24,119,36721,2982.6181,1,DE,Astoria Company
119,119,Boise,Idaho,"Boise City-Nampa, ID",3137000,the-newsletter-pro,Advertising & Marketing,33,120,36722,2974.8571,1,ID,The Newsletter Pro
120,120,Granville,Ohio,"Columbus, OH",12518559,revlocal,Advertising & Marketing,169,121,23215,2967.8457,3,OH,RevLocal
124,124,New York,New York,New York City,3381658,the-bait-shoppe,Advertising & Marketing,9,125,36724,2900.2909999999997,1,NY,The Bait Shoppe
141,141,Miami,Florida,Miami,28883247,showroom-logic,Advertising & Marketing,129,143,25524,2711.4019,2,FL,Showroom Logic
155,155,New York,New York,New York City,3192450,180-south,Advertising & Marketing,23,157,36747,2506.5072,1,NY,180 South
170,170,Valley Village,California,Los Angeles,4295696,bde-ventures,Advertising & Marketing,4,172,36758,2387.8212,1,CA,BDE Ventures
171,171,San Francisco,California,San Francisco,4943130,visually,Advertising & Marketing,38,174,36760,2383.9849,1,CA,Visually
181,181,New York,New York,New York City,78702121,optimatic-media,Advertising & Marketing,40,184,23427,2253.7956,3,NY,Optimatic Media
205,205,Lake Mary,Florida,"Orlando, FL",3437859,leads-on-demand,Advertising & Marketing,40,209,19917,2031.609,2,FL,Leads On Demand
206,206,San Francisco,California,San Francisco,15163156,ninthdecimal,Advertising & Marketing,80,210,36789,2028.3743,1,CA,NinthDecimal
209,209,San Diego,California,San Diego,10466276,recovery-brands,Advertising & Marketing,29,213,36791,2024.3213,1,CA,Recovery Brands
213,213,Columbia,Missouri,"Columbia, MO",45197562,adkarma,Advertising & Marketing,76,217,24949,2016.8519,2,MO,AdKarma
215,215,Austin,Texas,Austin,16546171,main-street-hub,Advertising & Marketing,444,219,25018,1996.1342,2,TX,Main Street Hub
238,238,Wichita,Kansas,"Wichita, KS",5305449,envyus-media,Advertising & Marketing,4,242,36813,1841.0842,1,KS,Envyus Media
248,248,Clearwater,Florida,Tampa,4414151,progressive-dental,Advertising & Marketing,34,252,25812,1764.1864,2,FL,Progressive Dental
259,259,Carlsbad,California,San Diego,3838334,elevatedcom,Advertising & Marketing,22,263,36830,1723.4366,1,CA,Elevated.com
261,261,Cordova,Tennessee,"Memphis, TN-MS-AR",3809230,highervisibility,Advertising & Marketing,30,265,24616,1710.1092,1,TN,HigherVisibility
272,272,Little Rock,Arkansas,"Little Rock-North Little Rock-Conway, AR",5249847,team-si,Advertising & Marketing,55,276,36838,1670.0688,1,AR,Team SI
311,311,Bradford,Massachusetts,Boston,2161269,my-marketing-solutions,Advertising & Marketing,6,315,36865,1480.8457,1,MA,My Marketing Solutions
326,326,Ramsey,New Jersey,New York City,11309620,rethink-ramsey-nj,Advertising & Marketing,28,330,23147,1423.5915,3,NJ,"Re:think (Ramsey, NJ)"
331,331,Charleston,South Carolina,"Charleston-North Charleston, SC",21279070,purecars,Advertising & Marketing,130,335,25749,1400.7381,2,SC,PureCars
333,333,Manhattan Beach,California,Los Angeles,13938491,clean-energy-experts,Advertising & Marketing,77,337,25062,1393.5687,2,CA,Clean Energy Experts
355,355,New York,New York,New York City,51999818,integral-ad-science,Advertising & Marketing,166,359,26395,1308.2939999999999,2,NY,Integral Ad Science
358,358,Clearwater,Florida,Tampa,27440183,bluewater-media,Advertising & Marketing,20,362,36893,1303.5454,1,FL,Bluewater Media
367,367,Philadelphia,Pennsylvania,Philadelphia,3039695,torchlight-technology-group,Advertising & Marketing,15,371,36901,1280.5312,1,PA,Torchlight Technology Group
371,371,Santa Monica,California,Los Angeles,13019743,tongal,Advertising & Marketing,48,375,25498,1269.6227,2,CA,Tongal
394,394,Raleigh,North Carolina,"Raleigh-Cary, NC",2688049,keen-strategy,Advertising & Marketing,10,399,36915,1182.509,1,NC,Keen Strategy
395,395,Los Angeles,California,Los Angeles,8286845,rainmaker-ad-ventures,Advertising & Marketing,2,400,36916,1180.4683,1,CA,Rainmaker Ad Ventures
400,400,New York,New York,New York City,48425000,kargo,Advertising & Marketing,100,405,36920,1165.0209,1,NY,Kargo
403,403,Atlanta,Georgia,Atlanta,3896234,look-listen,Advertising & Marketing,35,408,36923,1157.6002,1,GA,Look-Listen
406,406,Lees Summit,Missouri,"Kansas City, MO-KS",2358469,turn-the-page-online-marketing,Advertising & Marketing,23,411,24609,1152.9852,1,MO,Turn The Page Online Marketing
408,408,Pasadena,California,Los Angeles,19623000,imprenta-communications-group,Advertising & Marketing,14,413,36926,1151.4668,1,CA,Imprenta Communications Group
420,420,Needham,Massachusetts,Boston,214185447,extreme-reach,Advertising & Marketing,940,426,23011,1116.6773,2,MA,Extreme Reach
429,429,San Francisco,California,San Francisco,4349286,levitate-media,Advertising & Marketing,19,435,26109,1076.774,2,CA,Levitate Media
431,431,New York,New York,New York City,94251540,pulsepoint,Advertising & Marketing,98,438,36940,1067.8389,1,NY,PulsePoint
438,438,New York,New York,New York City,10550258,create-group-nyc,Advertising & Marketing,19,445,36944,1044.3541,1,NY,Create Group NYC
443,443,Dallas,Texas,Dallas,2180907,sports-marketing-monterrey,Advertising & Marketing,5,450,36947,1030.9177,1,TX,Sports Marketing Monterrey
449,449,San Jose,California,San Jose,19566322,ensighten,Advertising & Marketing,281,456,26221,1012.1152,2,CA,Ensighten
452,452,Seattle,Washington,Seattle,39925197,tune,Advertising & Marketing,250,459,22933,1002.97,3,WA,TUNE
454,454,Ponte Vedra Beach,Florida,"Jacksonville, FL",50942941,majority-strategies,Advertising & Marketing,32,461,36953,1000.7897,1,FL,Majority Strategies
459,459,Corte Madera,California,San Francisco,4348829,sway-group,Advertising & Marketing,9,466,36956,993.2997,1,CA,Sway Group
460,460,Durham,North Carolina,"Durham, NC",32611326,appia,Advertising & Marketing,70,467,23725,993.185,3,NC,Appia
472,472,Saint Louis,Missouri,"St. Louis, MO-IL",7066885,evolve-digital-labs,Advertising & Marketing,10,479,26370,972.5896,2,MO,Evolve Digital Labs
479,479,Needham,Massachusetts,Boston,13750100,acceleration-partners,Advertising & Marketing,42,486,23141,945.8497,3,MA,Acceleration Partners
508,508,New York,New York,New York City,2895893,the-participation-agency,Advertising & Marketing,6,516,25078,894.9573,2,NY,The Participation Agency
510,510,Denver,Colorado,"Denver-Aurora, CO",59776780,altitude-digital,Advertising & Marketing,82,518,21011,893.2481,4,CO,Altitude Digital
527,527,New York,New York,New York City,16468797,crowdtap,Advertising & Marketing,79,535,25453,869.658,2,NY,Crowdtap
534,534,Austin,Texas,Austin,2257332,unique-influence,Advertising & Marketing,17,542,36998,858.4012,1,TX,Unique Influence
542,542,Powell,Ohio,"Columbus, OH",3060682,lainegabriel,Advertising & Marketing,11,550,37002,840.5964,1,OH,LaineGabriel
551,551,Bowie,Maryland,"Washington, DC",5047686,eruptr,Advertising & Marketing,11,559,37008,825.0657,1,MD,ERUPTR
559,559,Boston,Massachusetts,Boston,10073656,wordstream,Advertising & Marketing,122,567,23019,805.8261,3,MA,WordStream
575,575,Denver,Colorado,"Denver-Aurora, CO",3738947,internetreputationcom,Advertising & Marketing,50,583,37019,793.0236,1,CO,InternetReputation.com
582,582,Des Moines,Iowa,"Des Moines-West Des Moines, IA",3768301,happy-medium,Advertising & Marketing,15,591,37026,781.2389,1,IA,Happy Medium
625,625,San Luis Obispo,California,"San Luis Obispo-Paso Robles, CA",6089898,hathway,Advertising & Marketing,37,636,25252,723.0059,2,CA,Hathway
629,629,Miami,Florida,Miami,24436533,pro-media-group,Advertising & Marketing,16,640,37051,714.8336,1,FL,Pro Media Group
632,632,Washington,District of Columbia,"Washington, DC",5213657,isom-global-strategies,Advertising & Marketing,20,643,26100,709.8306,2,DC,Isom Global Strategies
638,638,Tenafly,New Jersey,New York City,2980159,adjector,Advertising & Marketing,7,650,37055,696.6657,1,NJ,ADjector
639,639,Los Angeles,California,Los Angeles,7042721,180fusion,Advertising & Marketing,100,651,25374,695.7391,2,CA,180fusion
640,640,Columbus,Ohio,"Columbus, OH",3030191,treetree,Advertising & Marketing,18,652,25651,694.7104,2,OH,treetree
644,644,Cambridge,Massachusetts,Boston,61900945,everquote,Advertising & Marketing,84,656,24877,691.2228,2,MA,EverQuote
646,646,Lehi,Utah,"Provo-Orem, UT",36390136,boostability,Advertising & Marketing,466,658,25743,689.5164,2,UT,Boostability
651,651,Washington,District of Columbia,"Washington, DC",17502529,bully-pulpit-interactive,Advertising & Marketing,65,663,37063,679.9809,1,DC,Bully Pulpit Interactive
656,656,New York,New York,New York City,6363023,adgate-media,Advertising & Marketing,6,669,37066,673.0399,1,NY,AdGate Media
663,663,Morrisville,North Carolina,"Raleigh-Cary, NC",31605182,netsertive,Advertising & Marketing,155,676,23145,668.0065,3,NC,Netsertive
664,664,Thousand Oaks,California,Los Angeles,2449157,rep-interactive,Advertising & Marketing,12,677,37071,665.7373,1,CA,REP Interactive
675,675,SAN FRANCISCO,California,San Francisco,13906980,six-spoke-media,Advertising & Marketing,33,688,24990,657.2005,2,CA,SIX SPOKE MEDIA
702,702,Lake Oswego,Oregon,"Portland, OR",7337346,dealer-spike,Advertising & Marketing,156,715,25292,628.7782,2,OR,Dealer Spike
707,707,Morrisville,North Carolina,"Durham, NC",106460000,maxpoint-interactive,Advertising & Marketing,318,720,37091,625.2538,1,NC,MAXPOINT INTERACTIVE
711,711,Miami,Florida,Miami,3609733,white-shark-media,Advertising & Marketing,170,724,37093,621.5425,1,FL,White Shark Media
713,713,Toms River,New Jersey,New York City,25262000,yashi,Advertising & Marketing,38,726,21527,621.1533,4,NJ,Yashi
714,714,Medford,Oregon,"Medford, OR",2002981,tagquest,Advertising & Marketing,10,727,37095,618.1923,1,OR,TagQuest
715,715,Seattle,Washington,Seattle,9363273,rational-interaction,Advertising & Marketing,80,728,37096,617.2608,1,WA,Rational Interaction
719,719,Boston,Massachusetts,Boston,4429427,pixability,Advertising & Marketing,45,732,37100,613.7917,1,MA,Pixability
720,720,New York,New York,New York City,42232406,accordant-media,Advertising & Marketing,58,733,25951,613.5347,2,NY,Accordant Media
725,725,New York,New York,New York City,20588084,mediabrix,Advertising & Marketing,63,738,37103,610.1977,1,NY,MediaBrix
745,745,New York,New York,New York City,6054444,social-media-link,Advertising & Marketing,20,758,25251,596.7572,2,NY,Social Media Link
762,762,New York,New York,New York City,11454991,kettle,Advertising & Marketing,35,775,26281,579.2921,2,NY,Kettle
773,773,Costa Mesa,California,Los Angeles,9348569,local-lighthouse,Advertising & Marketing,145,786,37123,566.8043,1,CA,Local Lighthouse
777,777,Cincinnati,Ohio,Cincinnati,2013370,infotrust,Advertising & Marketing,20,790,37126,562.2928,1,OH,InfoTrust
795,795,Rogers,Arkansas,"Fayetteville-Springdale-Rogers, AR-MO",21257968,collective-bias,Advertising & Marketing,104,808,26172,547.5426,2,AR,Collective Bias
818,818,Austin,Texas,Austin,3435074,localsearchfordentistscom,Advertising & Marketing,25,831,25008,532.1761,2,TX,LocalSearchForDentists.com
830,830,Chadds Ford,Pennsylvania,Philadelphia,6346575,freerateupdatecom,Advertising & Marketing,17,843,25636,526.2637,2,PA,FreeRateUpdate.com
849,849,New York,New York,New York City,10334570,factory-360,Advertising & Marketing,1693,862,17954,518.0904,5,NY,Factory 360
855,855,Hayward,California,San Francisco,9212755,corefact,Advertising & Marketing,50,868,37162,516.4382,1,CA,Corefact
865,865,Portland,Oregon,"Portland, OR",5106733,mathyspotestio,Advertising & Marketing,12,878,37167,509.3968,1,OR,Mathys+Potestio
871,871,New York,New York,New York City,471199000,mediamath,Advertising & Marketing,659,884,21173,506.2933,3,NY,MediaMath
874,874,El Segundo,California,Los Angeles,13828012,pk4-media,Advertising & Marketing,31,887,25075,505.4527,2,CA,PK4 Media
882,882,Greenville,South Carolina,"Greenville-Mauldin-Easley, SC",9217134,dealer-online-marketing,Advertising & Marketing,56,894,26203,502.3798,2,SC,Dealer Online Marketing
884,884,Culver City,California,Los Angeles,27607626,omelet,Advertising & Marketing,90,896,26290,501.6696,2,CA,Omelet
887,887,Providence,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",2494807,tribalvision,Advertising & Marketing,30,899,37175,499.4971,1,RI,TribalVision
895,895,New York,New York,New York City,61873335,xad,Advertising & Marketing,175,907,37180,493.9679,1,NY,xAd
918,918,Doral,Florida,Miami,3285264,key-lime-interactive,Advertising & Marketing,21,930,37189,479.9118,1,FL,Key Lime Interactive
919,919,Lake Oswego,Oregon,"Portland, OR",5891194,logical-position,Advertising & Marketing,80,931,26170,478.8398,2,OR,Logical Position
923,923,Las Vegas,Nevada,"Las Vegas-Paradise, NV",1975804,marketing-with-you,Advertising & Marketing,13,935,37191,477.145,1,NV,Marketing with you
924,924,San Diego,California,San Diego,32568659,zeeto,Advertising & Marketing,55,936,37192,475.2446,1,CA,Zeeto
942,942,Dallas,Texas,Dallas,3713736,70kft,Advertising & Marketing,40,954,37201,466.9056,1,TX,70kft
957,957,Pittsburgh,Pennsylvania,"Pittsburgh, PA",2740010,cold-spark-media,Advertising & Marketing,8,969,37209,458.7615,1,PA,Cold Spark Media
973,973,Topsfield,Massachusetts,Boston,6861144,pure-incubation,Advertising & Marketing,33,985,25512,445.87,2,MA,Pure Incubation
987,987,Houston,Texas,Houston,5494848,chief-outsiders,Advertising & Marketing,39,999,24976,438.8601,2,TX,Chief Outsiders
1008,1008,Chicago,Illinois,Chicago,7795430,merge-design-interactive,Advertising & Marketing,23,1020,24006,430.05800000000005,3,IL,Merge Design & Interactive
1014,1014,Reno,Nevada,"Reno-Sparks, NV",7520751,kps3-marketing,Advertising & Marketing,21,1026,37233,426.2869,1,NV,KPS3 Marketing
