,2015-RANK,AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
599,600,Nemo Design*,"Portland, Ore.","8,200",32.3,Nemo Design*,Independent
600,601,Media Horizons,"Norwalk, Conn.","8,074",8.4,Media Horizons,Independent
601,602,Vladimir Jones,"Colorado Springs, Colo.","8,029",-8.6,Vladimir Jones,Independent
602,603,Launchpad Advertising,New York,"8,000",0.0,Launchpad Advertising,Independent
603,604,Karsh Hagan,Denver,"7,978",4.2,Karsh Hagan,Independent
604,605,Marden-Kane Digital Promotions,"Woodbury, N.Y.","7,975",-3.0,Marden-Kane Digital Promotions,Independent
605,606,Roberts Communications,"Rochester, N.Y.","7,946",10.5,Roberts Communications,Independent
606,607,Next Marketing,"Norcross, Ga.","7,937",-10.0,Next Marketing,Independent
609,610,LevLane*,Philadelphia,"7,800",14.4,LevLane*,Independent
610,611,Madwell,"Brooklyn, N.Y.","7,753",68.8,Madwell,Independent
611,612,Preston Kelly,Minneapolis,"7,750",3.3,Preston Kelly,Independent
612,613,Curiosity,Cincinnati,"7,740",29.9,Curiosity,Independent
613,614,Charleston/Orwig,"Hartland, Wis.","7,711",-10.4,Charleston/Orwig,Independent
614,615,Slack & Co.*,Chicago,"7,700",0.6,Slack & Co.*,Independent
615,616,TaCito Direct,Dallas,"7,697",-10.4,TaCito Direct,Independent
616,617,Babcock Jenkins,"Portland, Ore.","7,600",-33.3,Babcock Jenkins,Independent
617,618,Nail Communications,"Providence, R.I.","7,564",22.0,Nail Communications,Independent
620,620,Bozell*,Omaha,"7,500",0.0,Bozell*,Independent
621,620,Gregory FCA,"Ardmore, Pa.","7,500",10.3,Gregory FCA,Independent
622,620,EGC Group,"Melville, N.Y.","7,500",0.0,EGC Group,Independent
623,620,Questus,San Francisco,"7,500",-28.6,Questus,Independent
624,625,One North Interactive*,Chicago,"7,491",11.6,One North Interactive*,Independent
625,626,Threespot,Washington,"7,471",2.1,Threespot,Independent
626,627,BusinessOnline,San Diego,"7,464",2.4,BusinessOnline,Independent
627,628,Baker Street Advertising*,San Francisco,"7,413",4.0,Baker Street Advertising*,Independent
628,629,Mirrorball,New York,"7,400",15.6,Mirrorball,Independent
629,630,Pavone Marketing Group,"Harrisburg, Pa.","7,307",5.9,Pavone Marketing Group,Independent
630,631,Rabinovici & Associates,"Hallandale Beach, Fla.","7,297",23.7,Rabinovici & Associates,Independent
631,632,Bandy Carroll Hellige,"Louisville, Ky.","7,295",12.2,Bandy Carroll Hellige,Independent
632,633,Farm,"Depew, N.Y.","7,290",13.9,Farm,Independent
633,634,Chempetitive Group,Chicago,"7,251",34.2,Chempetitive Group,Independent
634,635,Adrenaline,Atlanta,"7,244",11.4,Adrenaline,Independent
635,636,Cactus,Denver,"7,216",8.9,Cactus,Independent
636,637,Airfoil Group*,"Royal Oak, Mich.","7,200",0.4,Airfoil Group*,Independent
637,638,Stone Ward,"Little Rock, Ark.","7,122",0.0,Stone Ward,Independent
638,639,DNA Seattle,Seattle,"7,060",1.4,DNA Seattle,Independent
639,640,Struck,Salt Lake City,"7,057",-4.5,Struck,Independent
641,641,Solve,Minneapolis,"7,000",29.6,Solve,Independent
642,641,Orci,"Santa Monica, Calif.","7,000",16.7,Orci,Independent
643,644,Walker Sands,Chicago,"6,917",51.8,Walker Sands,Independent
644,645,Lloyd & Co.*,New York,"6,900",-8.0,Lloyd & Co.*,Independent
645,646,Borshoff,Indianapolis,"6,871",-13.7,Borshoff,Independent
647,648,Safari Sundays*,New York,"6,796",22.5,Safari Sundays*,Independent
648,649,Lopito Ileana & Howie,"Guaynabo, Puerto Rico","6,791",5.5,Lopito Ileana & Howie,Independent
650,651,Kelliher Samets Volk,"Burlington, Vt.","6,700",12.6,Kelliher Samets Volk,Independent
651,652,Mortar*,San Francisco,"6,686",0.0,Mortar*,Independent
653,654,Barker Advertising and Interactive,New York,"6,644",10.2,Barker Advertising and Interactive,Independent
654,655,Three Deep,"St. Paul, Minn.","6,644",2.5,Three Deep,Independent
656,657,Media Logic,"Albany, N.Y.","6,620",6.1,Media Logic,Independent
657,658,MBLM Advertising*,New York,"6,593",-7.1,MBLM Advertising*,Independent
658,659,White64,"Tysons, Va.","6,575",6.0,White64,Independent
659,660,PanCom International*,Los Angeles,"6,560",9.5,PanCom International*,Independent
660,661,Dodge Communications,"Alpharetta, Ga.","6,555",8.1,Dodge Communications,Independent
661,662,Apollo Interactive,"El Segundo, Calif.","6,500",-3.7,Apollo Interactive,Independent
662,663,The Variable,"Winston-Salem, N.C.","6,436",98.1,The Variable,Independent
663,664,MediaMorphosis,"Long Island City, N.Y.","6,383",-4.2,MediaMorphosis,Independent
664,665,Red Square Agency,"Mobile, Ala.","6,375",2.2,Red Square Agency,Independent
665,666,Dae Advertising,San Francisco,"6,360",24.2,Dae Advertising,Independent
666,667,Battery,"Hollywood, Calif.","6,300",425.0,Battery,Independent
667,668,M/C/C,Dallas,"6,202",1.7,M/C/C,Independent
668,669,StudioNorth,"North Chicago, Ill.","6,100",10.9,StudioNorth,Independent
669,670,Liquid Interactive,"Allentown, Pa.","6,014",21.2,Liquid Interactive,Independent
670,671,Copacino & Fujikado,Seattle,"6,000",5.7,Copacino & Fujikado,Independent
671,672,Sprocket Media,"Pasadena, Calif.","6,000",-50.0,Sprocket Media,Independent
672,672,Standard Time,Los Angeles,"6,000",100.0,Standard Time,Independent
673,672,Modern Climate,Minneapolis,"6,000",-37.3,Modern Climate,Independent
674,672,Luxe Collective Group,New York,"6,000",20.0,Luxe Collective Group,Independent
675,676,Cashman & Katz Integrated Communications,"Glastonbury, Conn.","5,985",2.0,Cashman & Katz Integrated Communications,Independent
676,677,Shine United,"Madison, Wis.","5,950",4.4,Shine United,Independent
677,678,Full Contact,Boston,"5,800",16.0,Full Contact,Independent
678,679,TDA Boulder,"Boulder, Colo.","5,780",18.4,TDA Boulder,Independent
679,680,Chernoff Newman,"Columbia, S.C.","5,757",-1.1,Chernoff Newman,Independent
680,681,Communications Strategy Group*,Denver,"5,757",8.5,Communications Strategy Group*,Independent
681,682,Sockeye,"Portland, Ore.","5,750",5.6,Sockeye,Independent
682,683,Mintz & Hoke,"Avon, Conn.","5,735",-6.5,Mintz & Hoke,Independent
683,684,Public Communications,Chicago,"5,724",-5.0,Public Communications,Independent
684,685,Portent*,Seattle,"5,700",0.0,Portent*,Independent
685,685,Imaginuity Interactive,Dallas,"5,700",6.5,Imaginuity Interactive,Independent
686,687,Spawn Ideas,"Anchorage, Alaska","5,696",-2.6,Spawn Ideas,Independent
687,688,GRP Media,Chicago,"5,650",7.6,GRP Media,Independent
688,688,Centigrade,"Birmingham, Mich.","5,650",-34.3,Centigrade,Independent
689,690,LRXD,Denver,"5,617",26.2,LRXD,Independent
691,692,CooperKatz & Co.,New York,"5,581",16.5,CooperKatz & Co.,Independent
692,693,Renavatio Healthcare Communications,"Newtown, Pa.","5,580",-4.6,Renavatio Healthcare Communications,Independent
693,694,L3 Advertising,New York,"5,500",37.5,L3 Advertising,Independent
694,694,Alinean*,"Winter Park, Fla.","5,500",-8.3,Alinean*,Independent
695,696,NFusion,"Austin, Texas","5,465",-25.0,NFusion,Independent
696,697,Wexley School for Girls,Seattle,"5,429",10.2,Wexley School for Girls,Independent
697,698,Ink,"Irvine, Calif.","5,333",7.6,Ink,Independent
698,699,BeCore,Los Angeles,"5,326",36.6,BeCore,Independent
699,700,Stephan & Brady,"Madison, Wis.","5,309",0.9,Stephan & Brady,Independent
700,701,Extractable,San Francisco,"5,300",29.4,Extractable,Independent
701,702,2e Creative,St. Louis,"5,294",50.0,2e Creative,Independent
703,704,O2 Ideas,"Birmingham, Ala.","5,225",-59.5,O2 Ideas,Independent
704,705,Mediasmith*,San Francisco,"5,215",13.3,Mediasmith*,Independent
705,706,San Jose Group,Chicago,"5,201",-8.6,San Jose Group,Independent
706,707,Milici Valenti Ng Pack,Honolulu,"5,182",-28.8,Milici Valenti Ng Pack,Independent
707,708,ES Advertising,Los Angeles,"5,174",-25.0,ES Advertising,Independent
708,709,Allscope Direct,New York,"5,173",48.1,Allscope Direct,Independent
709,710,Firehouse,Dallas,"5,140",9.6,Firehouse,Independent
710,711,Love Communications*,Salt Lake City,"5,131",-1.1,Love Communications*,Independent
711,712,Cheil Worldwide,New York,"5,086",-11.9,Cheil Worldwide,Independent
712,713,Two by Four,Chicago,"5,041",-1.5,Two by Four,Independent
714,715,Brokaw,Cleveland,"5,008",-12.0,Brokaw,Independent
715,716,Bruce Clay,"Simi Valley, Calif.","5,004",-8.0,Bruce Clay,Independent
716,717,Fame,Minneapolis,"5,000",-9.1,Fame,Independent
717,717,Latin3,"Hollywood, Fla.","5,000",0.0,Latin3,Independent
718,717,Aventria Health Group*,"Doylestown, Pa.","5,000",,Aventria Health Group*,Independent
719,717,Maier Advertising,"Farmington, Conn.","5,000",0.0,Maier Advertising,Independent
720,717,Quiet Light Communications*,"Rockford, Ill.","5,000",0.0,Quiet Light Communications*,Independent
721,717,Nomadic Agency,"Scottsdale, Ariz.","5,000",19.0,Nomadic Agency,Independent
722,723,Magnani Continuum Marketing,Chicago,"4,950",5.3,Magnani Continuum Marketing,Independent
723,724,Small Army,Boston,"4,915",14.3,Small Army,Independent
724,725,CBD Marketing,Chicago,"4,900",16.7,CBD Marketing,Independent
725,726,OBI Creative,Omaha,"4,860",-17.0,OBI Creative,Independent
726,727,GdB (Gabriel deGrood Bendt),Minneapolis,"4,800",20.0,GdB (Gabriel deGrood Bendt),Independent
727,727,Richards/Carlberg,Houston,"4,800",14.0,Richards/Carlberg,Independent
728,729,AgencyQ,Washington,"4,785",8.9,AgencyQ,Independent
729,730,Linhart Public Relations,Denver,"4,725",-1.9,Linhart Public Relations,Independent
730,731,LatinMedios.com,"Aventura, Fla.","4,664",52.0,LatinMedios.com,Independent
731,732,Baldwin&,"Raleigh, N.C.","4,600",2.2,Baldwin&,Independent
732,732,RP3 Agency,"Bethesda, Md.","4,600",-14.8,RP3 Agency,Independent
733,734,Hanapin Marketing,"Bloomington, Ind.","4,599",8.7,Hanapin Marketing,Independent
734,735,RockOrange,Miami,"4,594",3.7,RockOrange,Independent
735,736,Pinta,"Miami Beach, Fla.","4,550",40.0,Pinta,Independent
736,737,Oden,"Memphis, Tenn.","4,514",-7.2,Oden,Independent
737,738,Bensimon Byrne,Toronto,"4,508",47.3,Bensimon Byrne,Independent
738,739,Fixation Marketing*,"Bethesda, Md.","4,500",20.0,Fixation Marketing*,Independent
739,739,L.C. Williams & Associates*,Chicago,"4,500",-4.6,L.C. Williams & Associates*,Independent
740,739,Turkel Brands,Miami,"4,500",-23.7,Turkel Brands,Independent
741,742,Sandstorm Design,Chicago,"4,450",4.7,Sandstorm Design,Independent
742,743,BFO,Chicago,"4,448",5.9,BFO,Independent
743,744,Masterminds,Philadelphia,"4,418",-14.1,Masterminds,Independent
744,745,Moses,Phoenix,"4,375",28.7,Moses,Independent
745,746,SMM Advertising,"Smithtown, N.Y.","4,358",-3.0,SMM Advertising,Independent
746,747,New & Improved Media*,"El Segundo, Calif.","4,329",14.7,New & Improved Media*,Independent
747,748,Catalyst Inc.,"Providence, R.I.","4,310",-13.2,Catalyst Inc.,Independent
748,749,Mason*,"Bethany, Conn.","4,222",5.6,Mason*,Independent
750,751,Ergo Interactive,New York,"4,200",40.0,Ergo Interactive,Independent
751,751,BarrettSF,San Francisco,"4,200",16.7,BarrettSF,Independent
752,751,Symmetri Marketing Group,Chicago,"4,200",10.1,Symmetri Marketing Group,Independent
753,754,90octane,Denver,"4,186",0.6,90octane,Independent
755,756,Trepoint,New York,"4,153",-6.2,Trepoint,Independent
756,757,Schermer,Minneapolis,"4,130",-7.8,Schermer,Independent
757,758,Go Local Interactive,"Overland Park, Kan.","4,122",30.6,Go Local Interactive,Independent
758,759,Catalyst Marketing Co.,"Fresno, Calif.","4,102",5.9,Catalyst Marketing Co.,Independent
759,760,AlPunto Advertising,"Tustin, Calif.","4,100",0.0,AlPunto Advertising,Independent
760,761,Grok,New York,"4,100",28.1,Grok,Independent
761,761,Della Femina Advertising,New York,"4,100",20.6,Della Femina Advertising,Independent
762,761,"Tom, Dick & Harry Creative Co.",Chicago,"4,100",2.2,"Tom, Dick & Harry Creative Co.",Independent
763,761,Hirons & Co.,Indianapolis,"4,100",-6.0,Hirons & Co.,Independent
764,761,Escape Pod,Chicago,"4,100",7.9,Escape Pod,Independent
766,767,Krause Advertising*,Dallas,"4,070",2.8,Krause Advertising*,Independent
767,768,Mint Advertising,"Clinton, N.J.","4,059",0.0,Mint Advertising,Independent
768,769,Weintraub Advertising,St. Louis,"4,000",0.0,Weintraub Advertising,Independent
769,769,GarrandPartners,"Portland, Maine","4,000",-5.1,GarrandPartners,Independent
771,769,Hoffman Agency,"San Jose, Calif.","4,000",-1.1,Hoffman Agency,Independent
772,773,Gold N Fish Marketing Group,"Armonk, N.Y.","3,960",6.1,Gold N Fish Marketing Group,Independent
773,774,JeffreyGroup,"Miami Beach, Fla.","3,952",25.6,JeffreyGroup,Independent
774,775,DDW,San Francisco,"3,900",50.0,DDW,Independent
776,777,Trigger,Los Angeles,"3,800",-15.6,Trigger,Independent
777,778,Backe Digital Brand Marketing,"Radnor, Pa.","3,766",2.8,Backe Digital Brand Marketing,Independent
778,779,Henson Consulting,Chicago,"3,709",35.4,Henson Consulting,Independent
779,780,Distillery Project,Chicago,"3,675",13.4,Distillery Project,Independent
780,781,Miller Brooks,"Zionsville, Ind.","3,632",-9.1,Miller Brooks,Independent
781,782,Ready Set Rocket,New York,"3,618",-9.8,Ready Set Rocket,Independent
782,783,BrandingBusiness,"Irvine, Calif.","3,606",-3.3,BrandingBusiness,Independent
783,784,EventNext,"Lake Orion, Mich.","3,600",33.3,EventNext,Independent
785,786,Crossbow Group,"Westport, Conn.","3,575",4.4,Crossbow Group,Independent
786,787,R/P Marketing Public Relations,"Holland, Ohio","3,564",-1.2,R/P Marketing Public Relations,Independent
787,788,HMH,"Portland, Ore.","3,508",-19.2,HMH,Independent
788,789,JumboShrimp,San Francisco,"3,500",0.0,JumboShrimp,Independent
789,789,Goldin Solutions*,New York,"3,500",16.7,Goldin Solutions*,Independent
790,789,KZSW Advertising,"Setauket, N.Y.","3,500",6.1,KZSW Advertising,Independent
791,789,Jones Advertising,Seattle,"3,500",25.0,Jones Advertising,Independent
792,793,Meers Advertising,"Kansas City, Mo.","3,495",18.6,Meers Advertising,Independent
793,794,Tiziani Whitmyre,"Sharon, Mass.","3,486",1.8,Tiziani Whitmyre,Independent
794,795,Coates Kokes,"Portland, Ore.","3,475",33.0,Coates Kokes,Independent
795,796,Plan C Agency*,Los Angeles,"3,445",0.0,Plan C Agency*,Independent
796,797,Richter7*,Salt Lake City,"3,429",-14.3,Richter7*,Independent
797,798,Red House,"Alpharetta, Ga.","3,400",6.3,Red House,Independent
798,799,Innis Maggiore Group,"Canton, Ohio","3,398",-12.4,Innis Maggiore Group,Independent
799,800,Littlefield,"Tulsa, Okla.","3,395",-12.6,Littlefield,Independent
800,801,Cerrell Associates,Los Angeles,"3,354",19.2,Cerrell Associates,Independent
801,802,BoomAgers*,New York,"3,330",0.0,BoomAgers*,Independent
802,803,AdFarm,"Kansas City, Mo.","3,315",1.9,AdFarm,Independent
803,804,Fraser Communications*,Los Angeles,"3,300",-10.8,Fraser Communications*,Independent
804,804,Manifold,San Francisco,"3,300",32.0,Manifold,Independent
805,806,Walz Tetrick Advertising*,"Mission, Kan.","3,280",0.0,Walz Tetrick Advertising*,Independent
806,807,Hispanic Group,Miami,"3,242",-1.3,Hispanic Group,Independent
807,808,Matlock Advertising & Public Relations,Atlanta,"3,234",9.0,Matlock Advertising & Public Relations,Independent
808,809,BlackWing Creative,Seattle,"3,200",-22.5,BlackWing Creative,Independent
809,809,Grenadier*,"Boulder, Colo.","3,200",39.1,Grenadier*,Independent
810,811,M45 Marketing Services*,"Freeport, Ill.","3,172",2.1,M45 Marketing Services*,Independent
811,812,MDB Communications,Washington,"3,164",-1.0,MDB Communications,Independent
812,813,ER Marketing*,"Kansas City, Mo.","3,100",6.3,ER Marketing*,Independent
813,814,White Rhino Productions,"Lexington, Mass.","3,050",14.9,White Rhino Productions,Independent
814,815,Grady Britton,"Portland, Ore.","3,032",17.8,Grady Britton,Independent
815,816,Celtic Chicago,"Niles, Ill.","3,002",35.5,Celtic Chicago,Independent
816,817,AY Digital,New York,"3,000",-42.3,AY Digital,Independent
817,818,Again Interactive,"Morristown, N.J.","2,983",-5.6,Again Interactive,Independent
818,819,Davis Harrison Dion,Chicago,"2,976",5.6,Davis Harrison Dion,Independent
819,820,Sudden Impact Marketing,"Westerville, Ohio","2,954",-24.7,Sudden Impact Marketing,Independent
820,821,Nemer Fieger*,Minneapolis,"2,934",0.0,Nemer Fieger*,Independent
821,822,Trumpet,New Orleans,"2,855",2.2,Trumpet,Independent
822,823,Launch Agency,"Carrollton, Texas","2,850",9.6,Launch Agency,Independent
823,824,Remerinc,Seattle,"2,833",0.0,Remerinc,Independent
824,825,Elemento L2,Chicago,"2,800",-20.0,Elemento L2,Independent
825,826,Science Project*,New York,"2,763",25.0,Science Project*,Independent
826,827,Axial*,"Boulder, Colo.","2,717",11.3,Axial*,Independent
827,828,Glass Agency,"Sacramento, Calif.","2,700",3.8,Glass Agency,Independent
828,828,Renegade,New York,"2,700",3.8,Renegade,Independent
829,830,Right Place Media,"Lexington, Ky.","2,657",28.3,Right Place Media,Independent
830,831,Ventura Associates International,New York,"2,614",3.7,Ventura Associates International,Independent
831,832,Bigbuzz Marketing Group,New York,"2,609",14.7,Bigbuzz Marketing Group,Independent
832,833,Pepper Group,"Palatine, Ill.","2,600",4.0,Pepper Group,Independent
833,833,Reality Rx Communication,"Somerset, N.J.","2,600",-7.1,Reality Rx Communication,Independent
834,835,McKee Wallwork & Co.,"Albuquerque, N.M.","2,598",-7.3,McKee Wallwork & Co.,Independent
835,836,Draft Agency,"Knoxville, Tenn.","2,576",64.4,Draft Agency,Independent
836,837,Abbi Agency,"Reno, Nev.","2,510",38.9,Abbi Agency,Independent
837,838,SMG (Shopper Marketing Group),"Porter Ranch, Calif.","2,500",25.0,SMG (Shopper Marketing Group),Independent
838,838,COG1,San Francisco,"2,500",66.7,COG1,Independent
839,838,Reflex Group,New York,"2,500",25.0,Reflex Group,Independent
840,838,SullivanPerkins,Dallas,"2,500",0.0,SullivanPerkins,Independent
841,838,FRWD,Minneapolis,"2,500",-28.6,FRWD,Independent
842,843,TriComB2B,"Dayton, Ohio","2,488",-19.3,TriComB2B,Independent
843,844,URI Global,"Torrance, Calif.","2,473",17.1,URI Global,Independent
844,845,Princeton Partners,"Princeton, N.J.","2,460",0.4,Princeton Partners,Independent
845,846,JMPR Public Relations,"Woodland Hills, Calif.","2,451",-3.5,JMPR Public Relations,Independent
846,847,Walrus,New York,"2,400",14.3,Walrus,Independent
847,848,Hydrogen Advertising,Seattle,"2,379",-20.7,Hydrogen Advertising,Independent
848,849,Ohlmann Group,"Dayton, Ohio","2,350",20.4,Ohlmann Group,Independent
849,850,Benedict Advertising & Marketing,"Daytona Beach, Fla.","2,337",17.3,Benedict Advertising & Marketing,Independent
850,851,Borenstein Group,"Fairfax, Va.","2,300",9.5,Borenstein Group,Independent
851,852,DGS Marketing Engineers,"Fishers, Ind.","2,258",-4.2,DGS Marketing Engineers,Independent
852,853,Tag Strategies*,Philadelphia,"2,246",0.0,Tag Strategies*,Independent
853,854,Object DC*,"Vienna, Va.","2,239",6.7,Object DC*,Independent
854,855,Morrow Media*,"Forest Hills, N.Y.","2,220",0.0,Morrow Media*,Independent
856,857,David James Group,"Oakbrook Terrace, Ill.","2,200",1.8,David James Group,Independent
857,858,Inner Circle Labs*,San Francisco,"2,192",9.3,Inner Circle Labs*,Independent
858,859,Truth & Advertising,"Santa Ana, Calif.","2,192",-4.0,Truth & Advertising,Independent
859,860,Modern Marketing Partners,"Naperville, Ill.","2,123",3.8,Modern Marketing Partners,Independent
860,861,TMI,New York,"2,022",104.2,TMI,Independent
861,862,Goda Advertising,"Inverness, Ill.","2,000",-33.3,Goda Advertising,Independent
862,863,Young Co.,"Laguna Beach, Calif.","1,939",22.6,Young Co.,Independent
863,864,Response Capture,"Portland, Ore.","1,900",35.7,Response Capture,Independent
864,865,Tipton & Maglione,"Great Neck, N.Y.","1,877",3.9,Tipton & Maglione,Independent
865,866,Greatest Common Factory*,"Austin, Texas","1,825",0.0,Greatest Common Factory*,Independent
866,867,Division of Labor,"Sausalito, Calif.","1,750",26.1,Division of Labor,Independent
867,868,Holtzman Communications,New York,"1,750",16.7,Holtzman Communications,Independent
868,868,FortyTwoEightyNine,"Rockford, Ill.","1,750",-7.9,FortyTwoEightyNine,Independent
869,870,Foster Marketing,"Lafayette, La.","1,719",-19.8,Foster Marketing,Independent
870,871,Diaz & Cooper,"Coral Gables, Fla.","1,700",70.0,Diaz & Cooper,Independent
871,872,Sacunas,"Harrisburg, Pa.","1,683",25.4,Sacunas,Independent
872,873,Heinzeroth Marketing Group,"Rockford, Ill.","1,675",18.8,Heinzeroth Marketing Group,Independent
873,874,FitzMartin,"Homewood, Ala.","1,641",-19.2,FitzMartin,Independent
874,875,Oink Ink,Philadelphia,"1,600",23.1,Oink Ink,Independent
875,876,LP&M Advertising,"Syracuse, N.Y.","1,573",2.5,LP&M Advertising,Independent
876,877,Vizion Interactive,"Irving, Texas","1,549",7.7,Vizion Interactive,Independent
877,878,Boomm Marketing & Communications,"La Grange, Ill.","1,530",17.7,Boomm Marketing & Communications,Independent
878,879,Pilgrim,Denver,"1,503",-17.5,Pilgrim,Independent
879,880,Forever Beta,"Brooklyn, N.Y.","1,500",200.0,Forever Beta,Independent
880,880,Jess3,"Sterling, Va.","1,500",-28.6,Jess3,Independent
881,880,Antarctic,New York,"1,500",25.0,Antarctic,Independent
882,883,John Doe,New York,"1,475",48.0,John Doe,Independent
883,884,Construction Marketing Advisors,"Naperville, Ill.","1,469",6.9,Construction Marketing Advisors,Independent
884,885,Simon Group,"Sellersville, Pa.","1,466",-8.6,Simon Group,Independent
885,886,TotalCom,"Tuscaloosa, Ala.","1,452",-4.8,TotalCom,Independent
886,887,Villing & Co.*,"South Bend, Ind.","1,436",0.0,Villing & Co.*,Independent
887,888,Red7e,"Louisville, Ky.","1,333",-0.5,Red7e,Independent
888,889,Beyond Total Branding,Miami,"1,260",0.0,Beyond Total Branding,Independent
889,890,MLT Creative,"Clarkston, Ga.","1,250",-16.7,MLT Creative,Independent
890,891,ENA Marketing Communications,"Shrewsbury, N.J.","1,200",-33.3,ENA Marketing Communications,Independent
891,892,Fancy Rhino,"Chattanooga, Tenn.","1,170",-15.4,Fancy Rhino,Independent
892,893,Winsper,Boston,"1,100",-63.3,Winsper,Independent
893,893,J-U Carter*,"San Clemente, Calif.","1,100",0.0,J-U Carter*,Independent
894,895,Sonnhalter,Cleveland,"1,088",3.6,Sonnhalter,Independent
895,896,Freebairn & Co.,Atlanta,"1,050",-19.2,Freebairn & Co.,Independent
896,897,Huntsinger & Jeffer,"Richmond, Va.","1,049",-17.7,Huntsinger & Jeffer,Independent
897,898,White Good,"Lancaster, Pa.","1,027",-6.7,White Good,Independent
898,899,Catalyst Marketing Communications,"Stamford, Conn.","1,006",-3.1,Catalyst Marketing Communications,Independent
899,900,Tzeffrey & Tzanetos,"San Anselmo, Calif.","1,000",0.0,Tzeffrey & Tzanetos,Independent
900,900,BSY Associates,"Holmdel, N.J.","1,000",0.0,BSY Associates,Independent
902,900,Glyphix,"West Hills, Calif.","1,000",11.1,Glyphix,Independent
903,904,Munn Rabot,New York,964,-11.9,Munn Rabot,Independent
904,905,Mandala,"Bend, Ore.",908,-4.4,Mandala,Independent
905,906,Fusion B2B,"Aurora, Ill.",865,-17.1,Fusion B2B,Independent
906,907,Media Pros of WNY*,"Orchard Park, N.Y.",853,0.0,Media Pros of WNY*,Independent
907,908,Mighty Fudge Studios,"Boulder, Colo.",761,30.1,Mighty Fudge Studios,Independent
908,909,Oster & Associates,San Diego,585,-3.9,Oster & Associates,Independent
909,910,TSA Communications,"Warsaw, Ind.",510,2.2,TSA Communications,Independent
910,911,LP&G,"Tucson, Ariz.",495,-2.3,LP&G,Independent
911,912,GoDiversity,New York,450,80.0,GoDiversity,Independent
912,913,Hudson Media Services,"West Orange, N.J.",375,5.6,Hudson Media Services,Independent
913,914,Graphicmachine,"Kansas City, Mo.",333,7.6,Graphicmachine,Independent
914,915,Griff/SMC Medical Marketing Communications,"Boulder, Colo.",104,38.8,Griff/SMC Medical Marketing Communications,Independent
